SORT	ORIG	DEST	Distance
1476	LAX	TUS	452
1480	CVG	DFW	812
1481	DFW	TUS	814
1482	TUS	DFW	814
1483	DFW	CVG	812
1487	LGA	IAH	1417
1488	IAH	TUS	936
1489	TUS	EWR	2117
1493	TUS	SAN	368
1494	SAN	TUS	368
1496	OAK	SAN	447
1497	SAN	OAK	447
1499	TUS	LAX	452
1500	LAX	SMF	373
1501	SMF	SAN	480
1502	SAN	TUS	368
1506	TUS	LAX	452
1507	LAX	SJC	308
1508	SJC	LAX	308
1509	LAX	TUS	452
1513	TUS	ORD	1437
1514	ORD	TUS	1437
1520	PHX	DFW	868
1521	DFW	MIA	1121
1522	MIA	PTY	1152
1523	PTY	DFW	1990
1525	TUS	DFW	814
1526	DFW	PTY	1990
1527	PTY	DFW	1990
1528	DFW	TUS	814
1530	PHX	BWI	1999
1531	BWI	PHX	1999
1535	TUS	SAN	368
1536	SAN	TUS	368
1538	TUS	SAN	368
1539	SAN	TUS	368
1543	TUS	ORD	1437
1544	ORD	ZRH	4444
1545	ZRH	FCO	432
1546	FCO	ZRH	432
1547	ZRH	ORD	4444
1548	ORD	TUS	1437
1558	TUS	LAS	365
1559	LAS	TUS	365
1561	TUS	LAS	365
1562	LAS	TUS	365
1564	TUS	LAS	365
1565	LAS	TUS	365
1567	TUS	LAS	365
1568	LAS	TUS	365
1582	PHX	LAS	256
1589	YUM	LAX	238
1590	LAX	RNO	391
1591	RNO	LAX	391
1592	LAX	YUM	238
1596	TUS	PHX	111
1597	PHX	SBA	455
1598	SBA	PHX	455
1599	PHX	TUS	111
1603	BHM	IAH	563
1604	IAH	TUS	936
1605	TUS	IAH	936
1606	IAH	BHM	563
1610	TUS	ORD	1437
1611	ORD	BOS	867
1612	BOS	ORD	867
1613	ORD	TUS	1437
1615	TUS	ORD	1437
1616	ORD	BOS	867
1617	BOS	ORD	867
1618	ORD	TUS	1437
1620	IND	PHX	1489
1621	PHX	TUS	111
1627	MEX	LAX	1553
1628	LAX	MEX	1553
1630	LAX	TUS	452
