SORT	ORIG	DEST	CO2_Emissions(tons_per_passenger)
1213	ORD	MSP	0.203
1214	MSP	PHL	0.442
1215	PHL	BDL	0.157
1217	TUS	DEN	0.299
1218	DEN	MSP	0.321
1219	MSP	PHX	0.707
1220	PHX	TUS	0.13
1222	ACV	SMF	0.161
1223	SMF	DEN	0.389
1224	DEN	TUS	0.299
1225	TUS	SLC	0.291
1226	SLC	ACV	0.301
1230	TUS	SAN	0.213
1231	SAN	TUS	0.213
1233	TUS	ATL	0.939
1234	ATL	DCA	0.273
1235	DCA	ATL	0.273
1236	ATL	TUS	0.939
1238	TUS	SAN	0.213
1239	SAN	TUS	0.213
1241	ATL	LAX	1.2
1242	LAX	TUS	0.241
1243	TUS	LAX	0.241
1244	LAX	ATL	1.2
1248	TUS	LAS	0.213
1249	LAS	TUS	0.213
1253	PHX	DFW	0.384
1254	DFW	PHX	0.384
1256	PHX	ORD	0.851
1257	ORD	PHX	0.851
1261	TUS	DEN	0.299
1262	DEN	TUS	0.299
1264	TUS	SAN	0.213
1265	SAN	TUS	0.213
1267	TUS	SAN	0.213
1268	SAN	TUS	0.213
1272	ORD	TUS	0.849
1273	TUS	ORD	0.849
1277	TUS	ATL	0.939
1278	ATL	MSN	0.326
1279	MSN	ATL	0.326
1280	ATL	TUS	0.939
1282	TUS	ATL	0.939
1283	ATL	MSN	0.326
1284	MSN	ATL	0.326
1285	ATL	TUS	0.939
1287	TUS	ATL	0.939
1288	ATL	MSN	0.326
1289	MSN	ATL	0.326
1290	ATL	TUS	0.939
1294	DEN	PHX	0.287
1295	PHX	TUS	0.13
1296	TUS	DEN	0.299
1297	DEN	ASE	0.131
1298	ASE	DEN	0.131
1302	FRA	TRN	0.207
1303	TRN	AHO	0.194
1304	AHO	TRN	0.194
1305	TRN	FRA	0.207
1309	ATL	CHS	0.181
1310	CHS	ATL	0.181
1311	ATL	TUS	0.939
1312	TUS	ATL	0.939
1314	TUS	MDW	0.851
1315	MDW	CLE	0.194
1316	CLE	MDW	0.194
1317	MDW	TUS	0.851
1319	TUS	MDW	0.851
1320	MDW	CLE	0.194
1321	CLE	MDW	0.194
1322	MDW	TUS	0.851
1324	TUS	MDW	0.851
1325	MDW	CLE	0.194
1326	CLE	MDW	0.194
1327	MDW	TUS	0.851
1329	TUS	DFW	0.366
1330	DFW	MSP	0.377
1331	MSP	DFW	0.377
1332	DFW	TUS	0.366
1336	SAN	TUS	0.213
1340	TUS	DFW	0.366
1341	DFW	BOS	0.952
1342	BOS	DFW	0.952
1343	DFW	TUS	0.366
1345	TUS	CLT	1
1346	CLT	SYR	0.291
1347	SYR	PHL	0.168
1348	PHL	PHX	1.2
1349	PHX	TUS	0.13
1353	TUS	DEN	0.299
1354	DEN	TUS	0.299
1356	TUS	DEN	0.299
1357	DEN	TUS	0.299
1359	TUS	DEN	0.299
1360	DEN	TUS	0.299
1362	LAS	TUS	0.213
1364	LAX	SFO	0.204
1366	SFO	LAS	0.229
1368	TUS	LAX	0.241
1372	TUS	SBA	0.27
1373	SBA	LAX	0.123
1374	LAX	TUS	0.241
1380	TUS	ORD	0.849
1381	ORD	ROC	0.266
1382	ROC	ORD	0.266
1383	ORD	SDF	0.187
1385	TUS	DFW	0.366
1386	DFW	HOU	0.17
1387	HOU	DFW	0.17
1388	DFW	TUS	0.366
1392	OKC	IAH	0.224
1393	IAH	TUS	0.404
1394	TUS	IAH	0.404
1395	IAH	OKC	0.224
1401	TUS	PHX	0.13
1402	PHX	IAH	0.47
1403	IAH	PHX	0.47
1404	PHX	TUS	0.13
1406	PHX	HOU	0.478
1407	HOU	PHX	0.478
1409	LAX	HKG	4.4
1410	HKG	DPS	1.3
1411	DPS	BKK	1.1
1412	BKK	NRT	1.7
1416	TUS	PHX	0.13
1417	PHX	STL	0.7
1418	STL	PHX	0.7
1419	PHX	TUS	0.13
1425	TUS	ORD	0.849
1426	ORD	DAY	0.175
1427	DAY	DFW	0.373
1428	DFW	TUS	0.366
1432	SBA	PHX	0.242
1433	PHX	MKE	0.869
1434	MKE	PHX	0.869
1435	PHX	SBA	0.242
1439	TUS	ORD	0.849
